V849 Her,  16 35 45.7,  +11 24 58,  V849 Her,  16 35 45.70,  +11 24 58.1
AH Pic,  05 57 12.7,  -59 35 26,  AH Pic,  05 57 12.55,  -59 35 26.0
V388 Peg,  21 57 32.4,  +08 55 14,  V388 Peg,  21 57 32.30,  +08 55 15.4
V1223 Sgr,  18 55 02.2,  -31 09 49,  V1223 Sgr,  18 55 02.31,  -31 09 49.6
V1432 Aql,  19 40 11.5,  -10 25 25,  V1432 Aql,  19 40 11.42,  -10 25 25.8
RR Cha,  13 26 24.2,  -82 19 43,  RR Cha,  13 26 23.80,  -82 19 43.1
BO Cet,  02 06 39.2,  -02 03 43,  BO Cet,  02 06 39.27,  -02 03 42.5
BY Cam,  05 42 48.9,  +60 51 32,  BY Cam,  05 42 48.77,  +60 51 31.5
V1315 Aql,  19 13 54.5,  +12 18 03,  V1315 Aql,  19 13 54.54,  +12 18 03.5
TT Tri,  01 31 59.7,  +29 49 22,  TT Tri,  01 31 59.86,  +29 49 22.1
V1500 Cyg,  21 11 36.6,  +48 09 02,  V1500 Cyg,  21 11 36.51,  +48 09 02.8
WX Ari,  02 47 36.2,  +10 35 39,  WX Ari,  02 47 36.22,  +10 35 37.7
DY Pup,  08 13 48.4,  -26 33 57,  DY Pup,  08 13 48.47,  -26 33 56.4
V378 Peg,  23 40 04.3,  +30 17 47,  V378 Peg,  23 40 04.29,  +30 17 47.4
V1668 Cyg,  21 42 35.2,  +44 01 55,  V1668 Cyg,  21 42 35.22,  +44 01 54.9
V728 Sco,  17 39 05.6,  -45 27 14,  V728 Sco,  17 39 12.3,  -45 28 45.
V603 Aql,  18 48 54.6,  +00 35 03,  V603 Aql,  18 48 54.64,  +00 35 02.9
TT Ari,  02 06 53.1,  +15 17 43,  TT Ari,  02 06 53.09,  +15 17 41.8
DW UMa,  10 33 53.0,  +58 46 55,  DW UMa,  10 33 52.86,  +58 46 54.7
XX Tau,  05 19 24.5,  +16 43 00,  XX Tau,  05 19 24.46,  +16 43 00.7
OR And,  23 04 37.4,  +49 27 24,  OR And,  23 04 37.42,  +49 27 23.9
HL Aqr,  22 20 26.9,  +02 00 54,  HL Aqr,  22 20 26.93,  +02 00 53.4
V393 Hya,  11 00 17.5,  -29 51 59,  V393 Hya,  11 00 17.47,  -29 51 59.1
SW Sex,  10 15 09.4,  -03 08 34,  SW Sex,  10 15 09.40,  -03 08 33.1
Aqr 1,  22 38 43.8,  +01 08 21,  Aqr1,  22 38 43.83,  +01 08 20.7
BG CMi,  07 31 29.0,  +09 56 23,  BG CMi,  07 31 29.00,  +09 56 23.1
V1494 Aql,  19 23 05.4,  +04 57 20,  V1494 Aql,  19 23 05.33,  +04 57 19.0
V4742 Sgr,  18 02 21.9,  -25 20 32,  V4742 Sgr,  18 02 21.86,  -25 20 32.2
MV Lyr,  19 07 16.3,  +44 01 08,  MV Lyr,  19 07 16.29,  +44 01 07.7
