Name, RAJ2000, DEJ2000, Type1, Type2, mag1, Orb.Per, Distance, 5%, 95%
J2036-1311, 20 36 44.2, -13 11 56, DN, SU,  nan, 0.058000, nan, nan, nan
J0627+3952, 06 27 03.8, +39 52 49, DN, SU, 20.14, 0.058000, 2424.07, 1658.41, 4706.53
J2100-0242, 21 00 16.0, -02 42 58, DN, SU, 20.10, 0.057870, 2651.20, 1953.27, 4742.99
J1759+2520, 17 59 24.1, +25 20 32, DN, SU, 18.70, 0.057590, 371.74, 46.29, 61.49
J0234-0454, 02 34 27.7, -04 54 31, DN, SU, 20.14, 0.057520, 2880.62, 2009.31, 4705.30
J2338-2049, 23 38 22.5, -20 49 52, DN, SU, 20.85, 0.057300, 3706.62, 2573.47, 5091.00
J0120+3255, 01 20 59.6, +32 55 45, DN, ZZ, 19.88, 0.057170, 407.81, 121.83, 307.11
J1915+0719, 19 15 02.1, +07 19 48, DN, SU, 19.14, 0.057069, 374.37, 79.77, 131.42
J0636-3114, 06 36 17.4, -31 14 43, DN, BD, 18.82, 0.057007, 212.94, 22.18, 26.42
J0738-8250, 07 38 19.4, -82 50 40, DN, SU, 19.89, 0.057000, 916.45, 389.25, 2174.16
J0751+3006, 07 51 07.5, +30 06 28, DN, SU, 19.57, 0.057000, 507.78, 126.09, 252.28
J0811+1520, 08 11 17.1, +15 20 03, DN, SU, 19.73, 0.057000, 3208.48, 2068.31, 4633.91
J0811+6600, 08 11 10.4, +66 00 10, DN, SU,  nan, 0.057000, nan, nan, nan
J0948+0149, 09 48 54.0, +01 49 11, DN, SU,  nan, 0.057000, nan, nan, nan
J1058+0547, 10 58 35.1, +05 47 06, DN, SU,  nan, 0.057000, nan, nan, nan
J1616+1151, 16 16 18.7, +11 51 05, DN, SU, 20.62, 0.057000, 2977.31, 2231.51, 4727.35
J2037-3012, 20 37 06.8, -30 12 22, DN, SU, 20.75, 0.057000, -1.09, 0.01, 0.02
J2155+2741, 21 55 12.7, +27 41 19, DN, SU,  nan, 0.057000, nan, nan, nan
J1610+0907, 16 10 27.6, +09 07 38, DN, SU, 20.42, 0.057000, 3386.97, 2149.35, 4895.28
J1819+3613, 18 19 53.8, +36 13 56, DN, SU, 19.26, 0.056841, 354.86, 52.37, 70.15
J1605+2030, 16 05 01.4, +20 30 57, DN, SU,  nan, 0.056700, nan, nan, nan
J2313+16, 23 13 00.0, +16 00 00, DN, SU, 19.82, 0.056700, 379.27, 104.34, 260.50
